TN	T-P	DIN	NH4	NO3	DIP	PO4
7.995	0.177	7.605	2.366220615	1.415	0.046	0.14832397
5.235	0.206	5.049	1.507315495	1.832	0.102	0.167332005
4.964	0.277	4.705	1.248198702	2.232	0.127	0.320936131
5.483	0.111	5.477	1.517893277	2.103	0.073	0.214476106
7.017	0.138	6.594	1.517234326	1.536	0.035	0.134164079
4.695	0.139	4.375	1.403210604	1.978	0.047	0.192353841
3.987	0.156	3.855	1.228820573	1.888	0.047	0.20976177
5.212	0.137	4.984	1.740402252	1.723	0.029	0.14832397
4.613	0.07	4.575	1.444299138	2.255	0.055	0.173205081
2.899	0.158	2.752	0.818535277	1.467	0.086	0.221359436
2.955	0.172	2.791	0.922496612	1.407	0.086	0.246981781
4.545	0.146	4.523	1.45223965	1.416	0.047	0.144913767
4.644	0.112	4.443	1.378767566	1.564	0.045	0.126491106
4.422	0.119	4.036	1.072380529	1.716	0.038	0.126491106
4.534	0.11	4.184	1.34944433	1.422	0.039	0.126491106
4.055	0.142	3.512	0.950263121	1.663	0.047	0.164316767
3.969	0.128	3.751	1.15195486	1.424	0.059	0.187082869
4.0905	0.127	3.9645	1.208511481	1.5435	0.0795	0.242899156
4.212	0.126	4.178	1.262537128	1.663	0.1	0.288097206
4.065	0.15	3.682	1.160172401	1.122	0.061	0.228035085
4.442	0.187	4.224	1.354621718	1	0.108	0.246981781
5.098	0.161	4.643	1.382389236	1.179	0.055	0.161245155
5.187	0.134	5.12	1.433178286	1.641	0.087	0.176068169
2.897	0.255	2.717	1.113103769	0.871	0.164	0.3591657
4.242	0.116	3.97	1.285301521	0.787	0.058	0.144913767
1.924	0.218	1.919	0.33015148	1.401	0.104	0.264575131
2.226	0.136	2.204	0.704982269	1.453	0.095	0.286356421
3.027	0.092	3.014	0.705691151	1.63	0.078	0.262678511
3.154	0.094	3.139	0.772010363	1.384	0.041	0.184390889
4.404	0.101	4.397	0.843208159	0.488	0.04	0.154919334
3.075	0.079	3.052	0.442718872	2.668	0.04	0.161245155
2.434	0.205	2.429	0.670074623	1.371	0.171	0.393700394
4.072	0.106	3.982	0.846167832	2.556	0.031	0.176068169
4.093	0.137	3.852	0.8336666	2.9	0.027	0.161245155
4.115	0.196	4.103	1.311106403	2.322	0.072	0.207364414
4.513	0.172	4.4	1.382027496	2.365	0.035	0.137840488
5.706	0.25	5.404	1.476482306	2.291	0.105	0.304959014
4.18	0.136	3.986	1.113552873	2.116	0.034	0.158113883
5.237	0.107	5.195	1.301921657	2.784	0.03	0.144913767
