WT	DO	BOD	COD	TOC	pH	Cond	SS
31.5	8.5	6.1	11.9	6.8	7.6	324	10.7
30.9	7.7	8	13.1	8.7	7.7	389	13.1
32.200001	10.6	10.7	17.299999	11.9	8.8	400	27
31.9	6.9	7.9	15.3	10.7	8.3	390	12.4
31	9.5	6.6	13.3	8.6	7.9	285	13
29.9	15.6	8.1	13.4	9.3	8.7	341	14.8
23.9	10.6	2.8	10.8	6.9	6.6	114	95
24.1	10	2	5.6	4.4	7.1	176	7.6
23.799999	9.3	2.2	5.3	4.3	7.3	235	5.1
25	10.2	6.3	9.4	4.9	7.5	285	16.9
22.799999	11.4	6.4	11.6	8.3	8.6	298	13.6
22.6	10.5	4.8	9	6.8	8	310	12.7
19	10.7	2.4	6.5	5.4	7.3	150	10.9
17.799999	11.5	4.1	7	5.5	7.8	283	7.7
16.700001	9.8	4	7.1	6.5	8.1	333	9.5
15.8	7.3	4.5	7.5	7.1	7.7	353	8.5
14.1	11.4	6	8.2	7.9	7.6	384	10.8
14.7	11.5	5.5	7.6	6.3	7.5	319	15.2
11.2	14.5	5.7	8.4	7.1	7.6	321	19.700001
9.9	14.7	5	9	7.4	7.9	348	12.5
11.1	9.4	5.8	12.1	8.4	7.5	435	49.299999
3.9	13.5	4.4	7.3	6.6	7.5	374	9.6
5.2	13.6	4.1	8.4	7.2	7.5	441	14.9
7.6	13.5	3.2	7.1	6.6	8.2	428	11.3
4.1	13.1	3.5	8.5	7.1	8.1	428	10
5.4	15.3	3.6	8.3	7.1	7.4	439	11
5	15.1	3.9	8.2	6.3	8.2	420	14
5.6	14.9	5.6	11.8	8.9	8.3	444	21.700001
8	11.1	6.3	13	9.9	7.9	394	19
5.4	15.5	6.8	14.1	9.7	9	401	24.6
5.1	12.7	5.6	13	10.4	8	442	24.799999
9	15.4	6.9	14.3	10.4	9	354	18.799999
11.7	12.5	6.1	12.8	8.3	7.8	405	25.1
11.2	11.6	6.1	12.6	8.8	8.1	388	25.200001
11.1	10.4	6.9	14.8	10.1	7.9	395	31.799999
10.7	10.4	3.4	8.8	7.5	8.1	316	20.9
13	7.7	4	8.8	6.4	7.3	459	10.9
14.7	7.6	3.9	8.5	7.1	8.3	439	9.5
13.6	14.1	4.1	8.9	7.4	7.9	330	16.799999
17.799999	10.4	5.5	11.5	8.2	8.2	392	12.7
14.8	7.5	4.5	9.4	6.5	7.5	295	20.700001
18.700001	9.6	7.4	12.2	8.8	7.7	386	13.4
20.6	9.8	5.9	12.8	7.8	7.7	401	10.5
20.299999	8.4	4	16.1	12	7.5	317	10
19.9	8.2	5.7	11.6	7.1	7.5	255	17.700001
