Obs	Acanthocyclops	Alona	Anuraeopsis	Ascomorpha	Asplanchna	Auraeopsis	Bosmina	Bosminopsis	Brachionus	Camptocercus	Canthocamptus	Cephalodella	Ceriodaphnia	Chydorus	Colurella	Conochiloides	Conochilus	Cyclops	Daphnia	Diaphanosoma	Dicranophorus	Dipleuchlanis	Dissotrocha	Diurella	Euchlanis	Filinia	Heliodiaptomus	Hexarthra	Holopedium	Ilyocryptus	Kellicottia	Keratella	Lapadella	Latonopsis	Lecane	Lepadella	Macrochaetus	Macrocyclops	Macrothrix	Macrycyclops	Mesocyclops	Moina	Monommata	Monostyla	Mytilina	Notholca	Notommata	Philodina	Platyias	Ploesoma	Polyarthra	Pompholyx	Rhynchotalona	Rotaria	Scapholeberis	Scaridium	Schizocerca	Sida	Simocephalus	Squatinella	Synchaeta	Testudinella	Tetramastix	Thermocyclops	Trichocerca	Trichotria	Triochocerca
SC232	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
SC233	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
SC234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC235	0	0	0	0	3	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0
SC236	0	0	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
SC237	0	0	0	0	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
SC238	0	0	0	0	6	0	6	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	3	0	0	3	0	0	0	3	0	0	0	9	0	0
SC239	0	0	0	0	0	0	24	0	107	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC240	0	0	0	0	0	0	5	0	56	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC241	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SC242	0	0	0	0	11	0	0	0	40	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC243	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC244	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SC245	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
SC246	0	3	3	0	3	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	12	0	0	3	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
